Year,Month,ReturnPct
1911,6,6.96
1911,7,4.45
1911,8,0.1
1911,9,-0.33
1911,10,6.0
1911,11,9.4
1911,12,5.62
1912,1,5.27
1912,2,4.28
1912,3,8.08
1912,4,8.17
1912,5,4.8
1912,6,5.01
1912,7,5.11
1912,8,7.3
1912,9,5.4
1912,10,4.67
1912,11,3.76
1912,12,1.34
1913,1,4.26
1913,2,1.61
1913,3,3.46
1913,4,5.34
1913,5,2.73
1913,6,0.58
1913,7,7.27
1913,8,8.51
1913,9,6.63
1913,10,2.46
1913,11,3.27
1913,12,5.84
1914,1,10.07
1914,2,6.93
1914,3,3.66
1914,4,3.12
1914,5,6.28
1914,6,5.02
1914,7,-0.0
1914,8,5.73
1914,9,5.73
1914,10,5.6
1914,11,5.6
1914,12,1.17
1915,1,7.48
1915,2,4.28
1915,3,8.27
1915,4,13.08
1915,5,2.83
1915,6,6.54
1915,7,4.98
1915,8,9.61
1915,9,8.86
1915,10,10.51
1915,11,8.21
1915,12,4.76
1916,1,3.06
1916,2,3.43
1916,3,4.67
1916,4,4.03
1916,5,7.5
1916,6,6.36
1916,7,4.06
1916,8,6.39
1916,9,9.78
1916,10,8.68
1916,11,7.82
1916,12,1.47
1917,1,3.47
1917,2,0.42
1917,3,9.63
1917,4,4.94
1917,5,3.27
1917,6,9.14
1917,7,4.31
1917,8,4.44
1917,9,2.93
1917,10,2.83
1917,11,0.52
1917,12,6.39
1918,1,16.03
1918,2,12.34
1918,3,6.86
1918,4,7.97
1918,5,12.07
1918,6,8.6
1918,7,9.13
1918,8,9.05
1918,9,7.39
1918,10,12.07
1918,11,9.92
1918,12,5.09
1919,1,6.58
1919,2,7.52
1919,3,10.15
1919,4,10.22
1919,5,13.47
1919,6,8.81
1919,7,9.23
1919,8,-1.05
1919,9,7.67
1919,10,11.1
1919,11,2.64
1919,12,2.83
1920,1,4.93
1920,2,-2.27
1920,3,13.58
1920,4,5.19
1920,5,-0.23
1920,6,4.71
1920,7,6.44
1920,8,2.65
1920,9,10.39
1920,10,6.61
1920,11,1.4
1920,12,-2.14
1921,1,11.89
1921,2,6.33
1921,3,4.53
1921,4,7.56
1921,5,10.13
1921,6,-1.12
1921,7,7.02
1921,8,6.13
1921,9,9.77
1921,10,8.47
1921,11,12.24
1921,12,10.06
1922,1,6.16
1922,2,8.63
1922,3,10.05
1922,4,12.27
1922,5,9.74
1922,6,4.81
1922,7,6.51
1922,8,9.52
1922,9,8.27
1922,10,7.73
1922,11,0.54
1922,12,5.57
1923,1,7.18
1923,2,10.0
1923,3,7.22
1923,4,2.01
1923,5,0.99
1923,6,2.19
1923,7,2.88
1923,8,6.95
1923,9,7.16
1923,10,5.03
1923,11,9.59
1923,12,9.79
1924,1,9.47
1924,2,6.46
1924,3,4.17
1924,4,3.91
1924,5,6.0
1924,6,8.26
1924,7,10.89
1924,8,9.41
1924,9,4.93
1924,10,4.65
1924,11,11.61
1924,12,11.1
1925,1,9.55
1925,2,6.14
1925,3,2.62
1925,4,4.43
1925,5,8.75
1925,6,7.26
1925,7,8.15
1925,8,6.58
1925,9,7.56
1925,10,8.43
1925,11,8.16
1925,12,6.53
1926,1,6.42
1926,2,5.06
1926,3,-1.89
1926,4,2.54
1926,5,6.27
1926,6,10.38
1926,7,9.58
1926,8,9.19
1926,9,6.63
1926,10,2.85
1926,11,6.53
1926,12,7.51
1927,1,4.52
1927,2,7.16
1927,3,6.73
1927,4,7.64
1927,5,8.52
1927,6,6.26
1927,7,7.19
1927,8,10.18
1927,9,10.36
1927,10,2.95
1927,11,6.83
1927,12,6.86
1928,1,4.87
1928,2,3.25
1928,3,9.93
1928,4,10.68
1928,5,7.22
1928,6,-0.85
1928,7,5.05
1928,8,7.52
1928,9,11.22
1928,10,6.0
1928,11,10.65
1928,12,4.08
1929,1,11.1
1929,2,4.02
1929,3,5.28
1929,4,2.91
1929,5,5.06
1929,6,5.46
1929,7,12.43
1929,8,8.95
1929,9,7.11
1929,10,-7.54
1929,11,-23.04
1929,12,8.7
1930,1,5.98
1930,2,10.73
1930,3,7.98
1930,4,10.4
1930,5,-2.16
1930,6,-6.02
1930,7,2.42
1930,8,3.37
1930,9,4.67
1930,10,-9.05
1930,11,-1.79
1930,12,-0.78
1931,1,9.28
1931,2,13.58
1931,3,7.38
1931,4,-4.22
1931,5,-3.91
1931,6,3.07
1931,7,9.73
1931,8,3.07
1931,9,-8.71
1931,10,-6.17
1931,11,9.46
1931,12,-10.88
1932,1,7.7
1932,2,8.43
1932,3,9.36
1932,4,-15.38
1932,5,-1.27
1932,6,-1.45
1932,7,18.24
1932,8,62.48
1932,9,17.4
1932,10,-7.14
1932,11,6.46
1932,12,3.83
1933,1,11.29
1933,2,-4.94
1933,3,7.52
1933,4,18.3
1933,5,35.7
1933,6,22.44
1933,7,12.61
1933,8,-0.89
1933,9,3.47
1933,10,-5.48
1933,11,7.12
1933,12,6.44
1934,1,10.13
1934,2,11.57
1934,3,-1.24
1934,4,5.77
1934,5,-6.14
1934,6,5.91
1934,7,-0.2
1934,8,0.84
1934,9,2.53
1934,10,5.86
1934,11,7.82
1934,12,5.54
1935,1,4.86
1935,2,1.84
1935,3,-1.34
1935,4,12.84
1935,5,12.72
1935,6,8.31
1935,7,9.58
1935,8,10.89
1935,9,5.98
1935,10,6.55
1935,11,13.26
1935,12,3.6
1936,1,9.2
1936,2,9.3
1936,3,5.57
1936,4,3.63
1936,5,-1.75
1936,6,8.16
1936,7,9.8
1936,8,5.78
1936,9,4.98
1936,10,9.28
1936,11,6.81
1936,12,2.42
1937,1,7.39
1937,2,7.16
1937,3,4.03
1937,4,-1.66
1937,5,0.29
1937,6,1.42
1937,7,11.19
1937,8,5.79
1937,9,-9.56
1937,10,-9.12
1937,11,-2.36
1937,12,5.54
1938,1,9.8
1938,2,4.6
1938,3,0.45
1938,4,3.39
1938,5,8.49
1938,6,9.72
1938,7,26.84
1938,8,6.21
1938,9,0.81
1938,10,16.34
1938,11,4.36
1938,12,0.99
1939,1,2.52
1939,2,3.36
1939,3,4.11
1939,4,-8.39
1939,5,8.59
1939,6,6.5
1939,7,7.17
1939,8,3.25
1939,9,15.51
1939,10,5.56
1939,11,2.87
1939,12,2.53
1940,1,4.45
1940,2,4.47
1940,3,4.58
1940,4,6.26
1940,5,-8.56
1940,6,-2.46
1940,7,10.13
1940,8,8.71
1940,9,10.78
1940,10,7.24
1940,11,8.57
1940,12,2.0
1941,1,6.55
1941,2,0.19
1941,3,7.48
1941,4,3.72
1941,5,4.98
1941,6,10.82
1941,7,12.19
1941,8,6.34
1941,9,7.15
1941,10,2.83
1941,11,2.54
1941,12,1.07
1942,1,9.93
1942,2,4.7
1942,3,2.54
1942,4,4.16
1942,5,9.69
1942,6,13.37
1942,7,11.52
1942,8,6.71
1942,9,8.27
1942,10,14.4
1942,11,8.05
1942,12,6.76
1943,1,12.18
1943,2,11.79
1943,3,9.07
1943,4,8.67
1943,5,9.09
1943,6,6.73
1943,7,6.94
1943,8,-0.08
1943,9,7.24
1943,10,4.09
1943,11,0.51
1943,12,6.71
1944,1,8.54
1944,2,4.56
1944,3,8.07
1944,4,3.39
1944,5,7.06
1944,6,9.92
1944,7,7.58
1944,8,3.46
1944,9,3.36
1944,10,7.54
1944,11,4.26
1944,12,7.18
